Directorio Archivo  Salida  Entropía
2 1516Complete7.csv  2.16665 0.197809
2 1516Complete8.csv  1.3137 0.195115
2 1516Complete9.csv  1.14914 0.196525
2 1516Complete10.csv  0.56093 0.158083
2 1617Complete7.csv  1.07514 0.197489
2 1617Complete8.csv  1.00829 0.174642
2 1617Complete9.csv  1.39447 0.183048
2 1617Complete10.csv  1.27563 0.203804
2 1718Complete6.csv  1.67325 0.188668
2 1718Complete7.csv  1.56309 0.201429
2 1718Complete8.csv  1.03491 0.192129
2 1718Complete9.csv  0.940569 0.158597
2 1920Complete7.csv  0.964164 0.186817
2 1920Complete8.csv  0.954098 0.215579
2 1920Complete9.csv  0.589936 0.172537
2 1920Complete10.csv  0.919125 0.215186
